Hanzi,Traditional,Pinyin,Pinyin 2,Meaning,Audio
年,,nián,,year; new-years; person's age, [sound:sapi5-573788ee-8f78d6e0-41b6fd83-0b9d2305-0508932c.mp3]
过,過,guò,guō,"pass, pass through, go across", [sound:sapi5-fbdc664b-7de60d63-daec8a4e-75af5a30-e77d984d.mp3]
发,髮 發,fā,"fà, fǎ, bō","issue, dispatch, send out; hair", [sound:sapi5-c39a4a1d-a4def461-7b451bed-2feadcda-e705aceb.mp3]
后,後 后,hòu,,"queen, empress, sovereign; (simp. for 後) behind, rear, after", [sound:sapi5-e3cbb831-4b89f095-6a12d550-60639a9c-306040b5.mp3]
作,,zuò,"zuō, zuó","make; work; compose, write; act, perform", [sound:sapi5-c7ccf2d9-efc190b1-0b144cb4-58106906-bd1391eb.mp3]
里,裡 浬 裏 里,lǐ,,unit of distance; village; lane, [sound:sapi5-e57c5b0a-bf55259c-12c7f16e-8d2e5a18-8c2a4acc.mp3]
用,,yòng,,"use, employ, apply, operate; use", [sound:sapi5-e858c91e-8d01cb54-766826ae-f82e32d1-0706318a.mp3]
道,,dào,dǎo,"path, road, street; method, way", [sound:sapi5-ee9e4172-03948167-85ca7e68-4c86d44b-c41d64fa.mp3]
行,,xíng,"háng, xìng,hàng, héng","go; walk; move, travel; circulate", [sound:sapi5-fbc30cd1-892979ff-9da29f92-5bf59ba8-bf1e5576.mp3]
所,,suǒ,,"place, location; numerary adjunct", [sound:sapi5-95a10907-b8c9d2cc-a9836c9a-fd111325-fe762268.mp3]
然,,rán,,"yes, certainly; pledge, promise", [sound:sapi5-b88d337e-1068b5ea-15dac477-34a83c07-070b33c3.mp3]
家,家 傢,jiā,"jie, gū","house, home, residence; family", [sound:sapi5-169a1ab3-6f03fe72-fa1e98d0-59d59599-54f0b67b.mp3]
种,種,zhǒng,"chóng, zhòng","seed; race, breed; to plant", [sound:sapi5-a894d8ee-675c4d3a-7f9ff438-cfd70699-bf57b261.mp3]
事,,shì,,"affair, matter, business; to serve; accident, incident", [sound:sapi5-a5e9bc4a-a267f274-388b8223-3195c4b0-156735e5.mp3]
成,,chéng,,"completed, finished, fixed", [sound:sapi5-a4f86a13-4dadbd04-96cc27ba-03cf0eea-088842b6.mp3]
方,,fāng,"fēng, páng,wǎng","a square, rectangle; a region; local", [sound:sapi5-c3306524-150e2c2f-187c4e93-53653270-09740461.mp3]
多,,duō,,"much, many; more than, over", [sound:sapi5-004c0f52-8081c3a4-fc30fc42-314d1d95-f3b99fda.mp3]
经,經,jīng,jìng,classic works; pass through, [sound:sapi5-bde7cf58-bafb0750-37e0fcdf-2d6bb151-4fe194bd.mp3]
么,麼,yāo,"mo, me, ma,mǒ",interrogative particle; repetition of a tune small; tender, [sound:sapi5-9b7d5fda-81198669-90b71451-dacc14d8-2511cf6f.mp3]
去,,qù,,"go away, leave, depart", [sound:sapi5-4aa5f9f6-2e638958-b21bd665-8a1883c0-67f58faa.mp3]
法,,fǎ,,"law, rule, regulation, statute; France, French", [sound:sapi5-f53079fc-8c86f620-1a5c7e09-2508e9bc-7e159439.mp3]
学,學,xué,,"learning, knowledge; school", [sound:sapi5-8c71d9c3-71278f7f-bf3e700a-b1f71c0f-5b06cd74.mp3]
如,,rú,,"if, supposing; as if; like, as", [sound:sapi5-d58fea8e-09493722-24fbd1ce-d2030a99-625ac608.mp3]
都,,dū,dōu,"metropolis, capital; all, the whole; elegant, refined", [sound:sapi5-4967b39c-682b24ee-3de06e89-55e47b02-3c489ba9.mp3]
同,同 仝,tóng,tòng,"same, similar; together with", [sound:sapi5-50a6d917-0cc1fef7-14b17f57-9595eee3-a5e35d58.mp3]
现,現,xiàn,,"appear, manifest, become visible", [sound:sapi5-d205dae4-6ce3e978-12329759-86c2d731-697cd99b.mp3]
当,當 噹,dāng,dàng,"bear, accept, undertake; just", [sound:sapi5-c9d613f2-b40acacc-9200db59-5cfeb3d0-68d3c8cd.mp3]
没,沒,méi,"mò, me","not, have not, none; drown, sink", [sound:sapi5-257e6830-f976e88d-55a599e0-2f0462b9-80efe092.mp3]
动,動,dòng,,"move, happen; movement, action", [sound:sapi5-eca2395c-0aef191a-34beb80f-691b3628-af049733.mp3]
面,麵 麪 面,miàn,,"face; surface; plane; side, dimension", [sound:sapi5-f45232dc-fa90cfd4-317b14b5-50d1167c-770bb53d.mp3]
起,,qǐ,,"rise, stand up; go up; begin", [sound:sapi5-85fb05e5-cb5f333f-c1f5af92-5689d4d6-0222b33f.mp3]
看,,kàn,kān,"look, see; examine, scrutinize", [sound:sapi5-900b40bf-d2995c58-924055a4-87969057-3f81b766.mp3]
定,,dìng,,"decide, settle, fix", [sound:sapi5-2be7681b-4d984c23-3e36559c-4d07e266-bdef13cc.mp3]
天,,tiān,,"sky, heaven; god, celestial", [sound:sapi5-cd54902b-d672f268-59fdc481-94b8ad6f-bd8654a8.mp3]
分,分 份,fēn,fèn,divide; small unit of time etc., [sound:sapi5-93e76463-f985120e-8b79bfdc-01a451fc-71b8f88d.mp3]
还,還,huán,"hái, xuán","still, yet, also, besides", [sound:sapi5-3677d9dc-d189eae6-af98a9db-7ead44af-90e7e9e4.mp3]
进,進,jìn,,"advance, make progress, enter", [sound:sapi5-042a17bc-53e95c59-80c8244f-b7960da5-6026409e.mp3]
好,,hǎo,hào,"good, excellent, fine; well", [sound:sapi5-3951137f-0c59a567-f0daf6a6-84ca4249-7eaaf4b1.mp3]
小,,xiǎo,,"small, tiny, insignificant", [sound:sapi5-b98146c5-155d3902-8c400bce-c2932b34-6c87b0d6.mp3]
部,,bù,pǒu,"part, division, section", [sound:sapi5-e676241a-ad95b675-4089f235-a2168674-c0398821.mp3]
其,,qí,jī,"his, her, its, their; that", [sound:sapi5-be199b62-aded7acf-3e663345-82047bf3-4e70fe4b.mp3]
些,,xiē,"suò, sā","little, few; rather, somewhat", [sound:sapi5-dcab8c5e-2a41547b-ada9c4e1-080d8a7c-64ab2d03.mp3]
主,,zhǔ,,"master, chief owner; host; lord", [sound:sapi5-3037afda-a773bde5-3304f44f-9528ee35-d3ac2b0b.mp3]
样,樣,yáng,"yàng, xiàng","shape, form, pattern, style", [sound:sapi5-617bdb70-6bdb2c5e-2a8c65e7-292c6205-97e47602.mp3]
理,,lǐ,,"reason, logic; manage", [sound:sapi5-1079d4b8-ba7c5267-1aebf2eb-5d11b017-913208d7.mp3]
心,,xīn,,"heart; mind, intelligence; soul", [sound:sapi5-0deac8d9-2c4d67b5-93cb923e-5abb79be-e53a7963.mp3]
她,,tā,,"she, her", [sound:sapi5-aea4fea2-18bde0ed-aa465319-61a16674-bd37f361.mp3]
本,,běn,,"root, origin, source; basis", [sound:sapi5-7c95895d-ba56363e-fe6922ae-5ef63913-a634ae89.mp3]
前,,qián,,"in front, forward; preceding", [sound:sapi5-60bb07e0-53394b2e-42b6c5f7-5d0ab7ed-4e0e7dc8.mp3]
开,開,kāi,,"open; initiate, begin, start", [sound:sapi5-93df75c6-876f1766-b2b8664d-e7e8e005-6b15b422.mp3]
但,,dàn,,"only; but, however, yet, still", [sound:sapi5-19cf988a-d834b242-69382343-073c0983-230c47ac.mp3]
因,,yīn,,"cause, reason; by; because (of)", [sound:sapi5-6864e114-ac0d2000-d5254b92-5a27149e-ea22a5fa.mp3]
只,只 隻,zhǐ,zhī,"only, just, simply", [sound:sapi5-ce0b9d7c-30eee033-7decdc0c-bba11bea-481c5043.mp3]
从,從,cóng,"zòng, zōng,cōng","from, by, since, whence, through", [sound:sapi5-fc61a1a3-df89f004-8c811243-35b71c05-2f7e7821.mp3]
想,,xiǎng,,"think, speculate, plan, consider", [sound:sapi5-679ec002-bc87441f-b52ad6ef-fef7704c-72244a8e.mp3]
实,實,shí,,"real, true; honest, sincere", [sound:sapi5-da31dc7c-f2706a73-8652cb40-d46d9157-b962e53a.mp3]
日,,rì,mì,sun; day; daytime, [sound:sapi5-3ba905cc-986939ea-1b89c027-1e68914c-599a2f41.mp3]
军,軍,jūn,,"army, military; soldiers, troops", [sound:sapi5-0cdf495e-a86c77d6-85404c88-96fe0e50-559f1efd.mp3]
者,,zhě,zhū,that which; he who; those who, [sound:sapi5-3404d2a7-afb3dab0-16bfc52b-b88bd209-bee30f40.mp3]
意,,yì,,"thought, idea, opinion; think", [sound:sapi5-719dd88c-aed33e2c-392233e1-c2c83cc0-40c4649c.mp3]
无,無,wú,mó,"negative, no, not; KangXi radical 71", [sound:sapi5-6e3265f3-c77cfa16-1ada1ab1-a9ca99dd-614301c3.mp3]
力,,lì,,"power, capability, influence", [sound:sapi5-dd194af0-0b8c82c3-29ea91e6-be725670-f23590ce.mp3]
它,牠,tā,tuō,it; other, [sound:sapi5-a6ddd3e7-dabdbc76-bf1b2dbf-50784827-bf2a22eb.mp3]
与,與,yǔ,"yù, yú","and; with; to; for; give, grant", [sound:sapi5-2687f36b-cb62c944-a867f376-afc42e85-41c65e5e.mp3]
长,長,cháng,"zhǎng, zhàng",long; length; excel in; leader, [sound:sapi5-1df349a0-b7e89a6c-ececd6e7-8a03f30e-0a724268.mp3]
把,,bǎ,bà,"hold, take; guard; regard as", [sound:sapi5-7f31e7be-7ca6b181-f791d9a3-5083d1ec-c27439fe.mp3]
机,機,jī,,desk; machine; moment, [sound:sapi5-7923da40-6b9e2ba2-b6aadb96-50833cd3-14897b11.mp3]
十,,shí,,"ten, tenth; complete; perfect", [sound:sapi5-dad047a5-b36f181b-a790353c-f8f03a36-da871c6a.mp3]
民,,mín,,"people, subjects, citizens", [sound:sapi5-6d260282-3b855b0f-bd6ffb7f-5c9962a3-bdfe5575.mp3]
第,,dì,,"sequence, number; grade, degree", [sound:sapi5-8476ae66-88a7f66b-59899f76-7ae70845-790cfe23.mp3]
公,,gōng,,"fair, equitable; public; duke", [sound:sapi5-de8f47a4-6724094c-a6530686-b8fd83de-d6e9a0fa.mp3]
此,,cǐ,,"this, these; in this case, then", [sound:sapi5-1080490e-a6a343fd-d701c928-4ee2dfa1-c232d788.mp3]
已,,yǐ,,already; finished; stop, [sound:sapi5-0e0cdd26-4edc1853-e334a97f-76d51d43-ac5e3573.mp3]
工,,gōng,,"labor, work; worker, laborer", [sound:sapi5-592a52cb-32723a56-9a94ab18-9687a308-06d108b4.mp3]
使,,shǐ,shì,"cause, send on a mission, order; envoy, messenger, ambassador", [sound:sapi5-7edec8f9-e734ad02-6fbb7dbf-7d3dcd6e-f18d4131.mp3]
情,,qíng,,"feeling, sentiment, emotion", [sound:sapi5-e1954be0-483b7718-1f69c544-aabd7ad4-fe8f5a9d.mp3]
明,,míng,,"bright, light, brilliant; clear", [sound:sapi5-471cd2ed-eea8b869-c826a656-ed7e1584-fe9dc780.mp3]
性,,xìng,,"nature, character, sex", [sound:sapi5-bb022e51-74fc63bf-74b6fb6b-9f7432c7-f9e8fd73.mp3]
